CREDIT_CARD_EXCEED_MONTHS,EMPLOYMENT_TYPE,LOAN_AMOUNT,LOAN_TENURE_YEAR,MORE_THAN_ONE_PRODUCTS,CREDIT_CARD_TYPES,NUMBER_OF_DEPENDENTS,YEARS_TO_FINANCIAL_FREEDOM,NUMBER_OF_CREDIT_CARD_FACILITY,NUMBER_OF_PROPERTIES,NUMBER_OF_BANK_PRODUCTS,NUMBER_OF_LOAN_TO_APPROVE,PROPERTY_TYPE,YEARS_FOR_PROPERTY_TO_COMPLETION,STATE,NUMBER_OF_SIDE_INCOME,MONTHLY_SALARY,TOTAL_SUM_OF_LOAN,TOTAL_INCOME_FOR_JOIN_APPLICATION,DECISION,SCORE
4,Employee,758621,12,No,Normal,2,11,5,2,3,2,Condominium,10,Selangor,1,4686,624411,13042,Accept,7
4,Employee,493098,23,Yes,Platinum,2,11,5,2,3,1,Condominium,10,Selangor,2,7824,808669,13491,Accept,8
4,Employee,251879,20,No,Not Specified,2,11,5,3,2,2,Condominium,10,Selangor,1,10672,470683,13049,Accept,7
4,Employee,729265,12,Yes,Normal,2,9,5,2,3,3,Condominium,10,Selangor,3,5828,1283187,13296,Reject,7
4,Employee,543417,20,No,Normal,2,13,3,3,3,2,Condominium,10,Selangor,2,6322,584462,10326,Accept,6
4,Employee,480536,10,Yes,Normal,2,11,3,3,3,1,Condominium,10,Selangor,3,4971,1141813,12053,Accept,7
4,Employee,270087,13,No,Gold,2,11,5,3,3,3,Condominium,10,Selangor,1,8755,1023017,16626,Reject,7
4,Employee,638027,17,Yes,Normal,2,11,5,3,3,1,Condominium,10,Selangor,2,11559,823478,11084,Reject,7
4,Employee,744346,21,No,Normal,2,9,5,3,3,1,Condominium,10,Selangor,1,6465,934811,15799,Reject,6
4,Employee,504652,10,Yes,Gold,2,11,5,3,3,1,Condominium,10,Selangor,3,12013,973818,16520,Accept,7
4,Employee,556663,18,No,Normal,2,11,5,2,1,3,Condominium,10,Selangor,1,4626,903774,18121,Accept,8
4,Employee,536163,23,Yes,Normal,2,11,5,3,1,1,Condominium,10,Selangor,1,8375,1319488,18381,Accept,9
4,Employee,541004,22,No,Normal,2,11,5,3,3,1,Condominium,10,Selangor,2,10342,1030112,13645,Accept,6
4,Employee,174606,23,Yes,Normal,2,12,5,3,1,2,Condominium,10,Selangor,3,8523,1329843,12645,Accept,6
4,Employee,286954,11,No,Normal,2,11,5,3,3,2,Condominium,10,Selangor,3,8120,896387,7595,Reject,6
4,Employee,472144,12,Yes,Normal,2,11,5,3,3,1,Condominium,10,Selangor,2,5355,930533,9805,Accept,7
4,Employee,325522,12,No,Gold,2,11,4,3,3,2,Condominium,10,Selangor,2,3690,1317165,13185,Accept,9
4,Employee,561827,15,Yes,Gold,2,11,5,3,3,3,Condominium,10,Selangor,1,7295,1310838,16627,Accept,6
4,Employee,303442,16,No,Gold,2,11,5,2,3,1,Condominium,10,Selangor,1,8816,1342002,13419,Accept,6
4,Employee,466117,20,Yes,Gold,2,15,5,3,2,3,Condominium,10,Selangor,2,10902,613608,14541,Reject,9
4,Employee,739671,17,No,Normal,2,11,5,3,3,1,Condominium,10,Selangor,2,6587,823478,11084,Accept,9
4,Employee,158951,23,Yes,Normal,2,11,5,2,3,3,Condominium,10,Selangor,2,10347,1189591,9621,Accept,7
4,Employee,768227,20,No,Normal,2,11,5,3,2,3,Condominium,10,Selangor,1,7841,739375,13049,Accept,6
4,Employee,126466,14,Yes,Normal,2,13,4,3,3,1,Condominium,10,Selangor,2,8067,1234236,13252,Accept,6
4,Employee,622209,13,No,Normal,2,14,5,2,3,3,Condominium,10,Selangor,1,6615,1253154,13756,Reject,7
4,Employee,528103,19,Yes,Gold,2,11,5,2,3,1,Condominium,10,Selangor,2,8214,1087889,14007,Accept,6
4,Employee,390155,20,No,Gold,2,15,5,3,3,3,Condominium,10,Selangor,1,4343,595413,13922,Reject,9
4,Employee,113707,18,Yes,Normal,2,15,3,3,2,1,Condominium,10,Selangor,1,3851,541604,17967,Accept,6
4,Employee,757294,19,No,Normal,2,11,5,3,1,1,Not Specified,10,Selangor,1,10247,1281373,13345,Accept,7
4,Employee,662723,15,Yes,Gold,2,11,4,2,2,2,Condominium,10,Selangor,3,11249,1205774,12354,Reject,6
4,Employee,545674,13,No,Normal,2,14,3,2,3,1,Condominium,10,Selangor,2,5620,604906,13252,Accept,7
4,Employee,724673,14,Yes,Gold,2,11,4,3,3,1,Condominium,10,Selangor,2,7163,782086,11513,Accept,8
4,Employee,668190,23,No,Normal,2,11,5,3,3,2,Condominium,10,Selangor,3,8816,659481,14467,Accept,7
4,Employee,482458,13,Yes,Normal,2,11,3,2,3,1,Condominium,10,Selangor,1,12261,555916,7749,Accept,7
4,Employee,307783,14,No,Platinum,2,11,5,3,3,1,Condominium,10,Selangor,1,9956,1119465,13490,Accept,7
4,Employee,718250,20,Yes,Gold,2,15,5,3,3,1,Condominium,10,Selangor,2,9493,841883,15408,Reject,6
4,Employee,408479,10,No,Normal,2,11,3,3,3,1,Condominium,10,Selangor,1,6076,792275,12516,Accept,9
4,Employee,418743,16,Yes,Normal,2,11,3,2,2,3,Condominium,10,Selangor,3,8833,458970,14283,Accept,8
4,Employee,544981,20,No,Normal,2,9,4,2,1,3,Condominium,10,Selangor,1,7582,519139,9378,Accept,8
4,Employee,158830,12,Yes,Gold,2,13,5,3,2,3,Condominium,10,Selangor,3,7954,779708,11452,Accept,8
4,Employee,440715,22,No,Normal,2,8,5,2,3,2,Condominium,10,Selangor,2,9878,992639,13141,Accept,7
4,Employee,186962,20,Yes,Gold,2,11,4,3,2,1,Condominium,10,Selangor,1,9052,818928,14496,Accept,8
4,Employee,752211,19,No,Normal,2,11,5,2,3,1,Not Specified,10,Selangor,2,8381,1252615,14170,Accept,9
4,Employee,181808,20,Yes,Normal,2,15,5,3,3,1,Condominium,10,Selangor,3,12014,1243171,16992,Accept,9
4,Employee,640073,12,No,Normal,2,11,5,3,3,1,Condominium,10,Selangor,2,4453,1142989,9588,Accept,6
4,Employee,281381,23,Yes,Normal,2,15,5,2,3,1,Condominium,10,Selangor,3,12132,1435664,13611,Accept,8
4,Employee,515156,17,No,Gold,2,11,5,3,3,1,Condominium,10,Selangor,1,3740,984853,18158,Reject,7
4,Employee,536508,12,Yes,Normal,2,11,5,3,3,1,Not Specified,10,Selangor,2,7833,1416719,13128,Accept,6
4,Employee,588891,21,No,Normal,2,11,5,3,3,2,Condominium,10,Selangor,1,9590,1054636,11753,Accept,9
4,Employee,641364,17,Yes,Normal,2,15,5,3,3,2,Condominium,10,Selangor,1,10755,1295815,8201,Accept,6
4,Employee,124163,11,No,Normal,2,11,5,3,3,3,Not Specified,10,Selangor,2,5738,1200841,12204,Accept,8
4,Employee,230698,19,Yes,Normal,2,11,5,3,3,2,Condominium,10,Selangor,3,7725,1083607,14007,Accept,8
4,Employee,116437,20,No,Normal,2,11,5,3,3,1,Condominium,10,Selangor,1,8539,1072765,13722,Accept,8
4,Employee,275773,12,Yes,Normal,2,11,5,3,3,3,Condominium,10,Selangor,2,6023,600262,13042,Accept,7
4,Employee,455895,15,No,Normal,2,15,5,3,2,3,Condominium,10,Selangor,3,8797,421344,13321,Accept,7
4,Employee,759235,24,Yes,Gold,2,15,5,3,3,2,Condominium,10,Selangor,2,4004,431456,13611,Accept,8
4,Employee,184394,17,No,Gold,2,15,5,2,3,2,Condominium,10,Selangor,1,10899,752183,15088,Accept,9
4,Employee,614799,19,Yes,Normal,2,11,5,3,3,3,Condominium,10,Selangor,3,9025,506801,11104,Accept,7
4,Employee,576752,13,No,Normal,2,15,5,3,2,1,Condominium,10,Selangor,1,8230,627257,16750,Accept,9
4,Employee,649450,24,Yes,Normal,2,11,5,2,3,3,Condominium,10,Selangor,1,8726,511901,8057,Reject,7
4,Employee,193519,11,No,Not Specified,2,11,5,3,3,3,Condominium,10,Selangor,1,7049,1248725,15827,Accept,7
4,Employee,581126,10,Yes,Not Specified,2,11,5,3,3,2,Condominium,10,Selangor,2,5736,1265338,15414,Accept,7
4,Employee,642934,22,No,Gold,2,11,5,2,3,3,Condominium,10,Selangor,1,5417,1261763,8687,Accept,8
4,Employee,626874,23,Yes,Platinum,2,11,3,3,2,3,Condominium,10,Kuala Lumpur,1,8302,759568,15383,Reject,8
4,Employee,382808,22,No,Normal,2,11,5,3,3,2,Condominium,10,Kuala Lumpur,3,4964,901445,16887,Accept,6
4,Employee,406400,15,Yes,Gold,2,11,3,3,3,3,Condominium,10,Kuala Lumpur,1,4456,555742,19295,Accept,8
4,Employee,552662,10,No,Gold,2,11,5,3,1,2,Condominium,10,Kuala Lumpur,1,12513,1306813,12599,Accept,6
4,Employee,273102,11,Yes,Normal,2,11,5,3,3,2,Condominium,10,Kuala Lumpur,2,5779,960559,13042,Accept,7
4,Employee,483338,10,No,Normal,2,11,5,2,3,3,Condominium,10,Kuala Lumpur,1,5582,1316906,12053,Accept,7
4,Employee,478099,19,Yes,Normal,2,11,5,3,3,2,Not Specified,10,Kuala Lumpur,2,3946,1048240,14815,Accept,8
4,Employee,606341,17,No,Normal,2,15,5,2,3,1,Condominium,10,Kuala Lumpur,1,8436,708910,13642,Accept,8
4,Employee,629996,24,Yes,Gold,2,11,5,2,3,2,Condominium,10,Kuala Lumpur,1,12245,462597,14781,Reject,8
4,Employee,194781,11,No,Normal,2,11,5,3,3,1,Condominium,10,Kuala Lumpur,2,5738,1060182,13118,Reject,9
4,Employee,698049,12,Yes,Normal,2,11,5,3,2,2,Not Specified,10,Kuala Lumpur,1,7472,750303,8674,Accept,7
4,Employee,798549,22,No,Platinum,2,11,4,2,3,2,Condominium,10,Kuala Lumpur,2,8974,673946,11371,Accept,8
4,Employee,596816,20,Yes,Normal,2,11,3,3,3,1,Condominium,10,Kuala Lumpur,2,7241,958526,7587,Accept,9
4,Employee,198093,20,No,Normal,2,11,5,3,3,2,Condominium,10,Kuala Lumpur,1,4344,817300,17362,Reject,7
4,Employee,394827,13,Yes,Normal,2,11,5,3,3,1,Condominium,10,Kuala Lumpur,2,5738,1334156,13814,Accept,8
4,Employee,622616,20,No,Gold,2,11,5,3,3,2,Condominium,10,Kuala Lumpur,2,6427,1114332,16751,Accept,6
4,Employee,656740,20,Yes,Normal,2,11,5,3,3,1,Condominium,10,Kuala Lumpur,2,4693,1042157,15534,Accept,6
4,Employee,771770,17,No,Not Specified,2,11,5,3,2,2,Condominium,10,Kuala Lumpur,1,11433,508500,17103,Accept,6
4,Employee,550668,24,Yes,Normal,2,11,4,3,3,1,Condominium,10,Kuala Lumpur,2,6090,1367194,13611,Accept,6
4,Employee,181127,16,No,Normal,2,11,4,2,1,2,Condominium,10,Kuala Lumpur,2,4675,1360757,12227,Accept,9
6,Employee,352969,19,Yes,Normal,2,15,4,2,3,2,Condominium,10,Kuala Lumpur,1,8337,1344679,19064,Accept,9
6,Employee,193485,20,No,Normal,2,15,4,2,2,1,Condominium,10,Kuala Lumpur,3,8938,1312040,12877,Accept,9
6,Employee,444649,15,Yes,Normal,2,5,4,2,1,1,Condominium,10,Kuala Lumpur,1,9155,1046528,13485,Accept,8
6,Employee,481879,17,No,Platinum,2,5,4,2,1,1,Condominium,10,Kuala Lumpur,1,7636,998759,16101,Reject,6
6,Employee,649792,12,Yes,Platinum,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,7667,1186048,10961,Reject,6
6,Employee,784320,17,No,Normal,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,2,8308,1237389,13419,Accept,6
6,Employee,392487,20,Yes,Not Specified,2,12,4,2,1,2,Condominium,10,Kuala Lumpur,1,12187,1076827,16494,Accept,8
6,Employee,319486,15,No,Gold,2,12,4,2,2,2,Condominium,10,Kuala Lumpur,2,4548,1281808,11003,Accept,8
6,Employee,262829,16,Yes,Normal,2,12,4,2,2,2,Condominium,10,Kuala Lumpur,1,6904,852201,13585,Accept,7
6,Employee,567578,23,No,Normal,2,13,4,2,3,3,Condominium,10,Kuala Lumpur,3,8567,1295481,14303,Reject,9
6,Employee,451696,13,Yes,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,6155,986496,16654,Accept,8
6,Employee,794029,11,No,Normal,2,12,3,2,3,2,Condominium,10,Kuala Lumpur,2,10328,1161224,18360,Accept,7
6,Employee,572922,14,Yes,Normal,2,14,4,2,3,3,Condominium,10,Kuala Lumpur,1,9009,1156049,17459,Reject,9
6,Employee,508528,15,No,Normal,2,13,4,2,3,2,Condominium,10,Kuala Lumpur,2,9534,1174842,14856,Reject,8
6,Employee,342691,19,Yes,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,7667,1348551,19118,Reject,9
6,Employee,597047,16,No,Gold,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,5706,867715,13945,Accept,9
6,Employee,790337,13,Yes,Normal,2,12,4,2,1,3,Condominium,10,Kuala Lumpur,2,9345,1121604,17425,Accept,9
6,Employee,303147,12,No,Not Specified,2,12,3,2,2,1,Not Specified,10,Kuala Lumpur,3,10479,1015128,15100,Accept,8
6,Employee,622616,20,Yes,Gold,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,6749,699890,9430,Accept,8
6,Employee,241560,17,No,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,7022,660307,19554,Reject,9
6,Employee,501093,22,Yes,Platinum,2,12,4,2,2,1,Condominium,10,Kuala Lumpur,2,8073,675616,14951,Accept,7
6,Employee,622616,13,No,Gold,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,10202,1093779,18521,Accept,6
6,Employee,387842,20,Yes,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,3,3969,1057396,7961,Accept,7
6,Employee,193662,19,No,Gold,2,16,4,2,3,3,Condominium,10,Kuala Lumpur,1,5027,953311,9929,Accept,7
6,Employee,553959,22,Yes,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,11391,1235688,9802,Accept,9
6,Employee,622616,15,No,Gold,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,2,8621,644625,9474,Accept,7
6,Employee,378309,15,Yes,Gold,2,12,4,2,1,2,Condominium,10,Kuala Lumpur,1,5536,1194764,12227,Accept,6
6,Employee,469692,21,No,Gold,2,12,4,2,1,2,Condominium,10,Kuala Lumpur,1,5768,1239117,14473,Accept,7
6,Employee,540418,19,Yes,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,2,4470,1129601,15912,Accept,9
6,Employee,633691,17,No,Gold,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,2,8235,679806,15835,Accept,8
6,Employee,173002,15,Yes,Normal,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,1,5665,935944,9824,Accept,6
6,Employee,477653,19,No,Normal,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,3,6564,981908,13345,Reject,9
6,Employee,467759,14,Yes,Platinum,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,7274,955825,15691,Accept,6
6,Employee,100837,21,No,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,3,4844,876740,12731,Reject,6
6,Employee,512246,18,Yes,Normal,2,15,3,2,2,1,Condominium,10,Kuala Lumpur,1,5184,1346080,9524,Accept,6
6,Employee,260794,16,No,Normal,2,13,4,2,3,3,Condominium,10,Kuala Lumpur,2,8909,884702,12333,Accept,7
6,Employee,301909,14,Yes,Gold,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,2,4268,715112,11533,Accept,8
6,Employee,105876,16,No,Gold,2,12,4,2,2,3,Condominium,10,Kuala Lumpur,1,11070,851848,9436,Accept,6
6,Employee,474268,10,Yes,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,9883,1161619,13042,Accept,7
6,Employee,532050,22,No,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,2,7639,879381,11407,Reject,8
6,Employee,622616,18,Yes,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,6544,757700,12954,Reject,9
6,Employee,699890,18,No,Normal,2,12,4,2,3,3,Not Specified,10,Kuala Lumpur,2,11757,948346,14917,Accept,9
6,Employee,525276,17,Yes,Gold,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,7060,991818,13501,Reject,7
6,Employee,289302,20,No,Gold,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,3,3606,915964,13345,Accept,7
6,Employee,763190,20,Yes,Normal,2,12,4,2,2,1,Condominium,10,Kuala Lumpur,3,10307,1426668,12198,Accept,8
6,Employee,215773,19,No,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,2,11567,857062,15472,Reject,6
6,Employee,383883,22,Yes,Normal,2,12,4,2,1,2,Condominium,10,Kuala Lumpur,1,12543,1041400,15092,Reject,6
6,Employee,616297,17,No,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,4726,915568,16243,Accept,6
6,Employee,420489,13,Yes,Normal,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,3,10431,847561,8436,Accept,6
6,Employee,504539,12,No,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,5362,1136724,18015,Accept,9
6,Employee,156946,15,Yes,Platinum,2,12,4,2,1,1,Condominium,10,Kuala Lumpur,2,7438,488177,12227,Accept,7
6,Employee,158840,17,No,Normal,2,15,3,2,3,1,Condominium,10,Kuala Lumpur,3,12432,604652,19054,Reject,9
6,Employee,298701,21,Yes,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,8474,662611,7625,Accept,6
6,Employee,655565,22,No,Gold,2,12,4,2,2,3,Condominium,10,Kuala Lumpur,1,7933,862042,12048,Reject,7
6,Employee,472180,20,Yes,Normal,2,12,4,2,1,2,Condominium,10,Kuala Lumpur,1,8964,1238699,17650,Accept,7
6,Employee,125416,12,No,Normal,2,15,3,2,2,3,Condominium,10,Kuala Lumpur,2,8474,903003,9323,Reject,9
6,Employee,221509,14,Yes,Normal,2,12,4,2,3,2,Not Specified,10,Kuala Lumpur,3,10902,1016016,14631,Accept,7
6,Employee,356561,10,No,Not Specified,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,3,9137,511073,13266,Accept,6
6,Employee,469692,22,Yes,Not Specified,2,9,4,2,3,1,Condominium,10,Kuala Lumpur,1,5826,1057718,15706,Accept,6
6,Employee,700606,11,No,Gold,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,6898,1363624,15061,Reject,9
6,Employee,390924,23,Yes,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,2,7803,1268379,13611,Reject,8
6,Employee,452345,10,No,Not Specified,2,12,3,2,2,1,Not Specified,10,Kuala Lumpur,3,5405,1347706,12492,Accept,8
6,Employee,361516,22,Yes,Normal,2,15,4,2,3,3,Condominium,10,Kuala Lumpur,3,3833,1186678,13147,Accept,7
6,Employee,438432,17,No,Gold,2,12,3,2,3,2,Condominium,10,Kuala Lumpur,1,6656,1427823,15843,Accept,6
6,Employee,404358,13,Yes,Normal,2,14,4,2,2,3,Condominium,10,Kuala Lumpur,1,8729,889001,15146,Accept,7
6,Employee,198318,10,No,Gold,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,11262,1011662,8031,Accept,8
6,Employee,572922,13,Yes,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,6090,754040,16103,Reject,8
6,Employee,504150,11,No,Normal,2,12,4,2,3,3,Condominium,10,Kuala Lumpur,1,6979,1238460,13042,Accept,9
6,Employee,144243,15,Yes,Normal,2,14,3,2,3,3,Condominium,10,Kuala Lumpur,1,11948,1372157,12772,Reject,7
6,Employee,553680,14,No,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,2,6538,1133345,15396,Accept,6
6,Employee,785339,20,Yes,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,1,7936,1427012,7658,Reject,7
6,Employee,644003,19,No,Normal,2,12,4,2,1,3,Condominium,10,Kuala Lumpur,1,6300,1333917,13345,Accept,9
6,Employee,577982,11,Yes,Normal,2,12,4,2,1,1,Not Specified,10,Kuala Lumpur,1,5562,1173074,12593,Accept,8
6,Employee,136609,22,No,Normal,2,12,4,2,1,2,Condominium,10,Kuala Lumpur,1,7639,454679,11878,Accept,7
6,Employee,664414,19,Yes,Normal,2,15,4,2,2,3,Condominium,10,Kuala Lumpur,3,9644,1363753,9730,Reject,7
6,Employee,270008,20,No,Not Specified,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,1,8816,758726,15912,Accept,8
6,Employee,404358,12,Yes,Normal,2,14,4,2,3,1,Condominium,10,Kuala Lumpur,1,11804,750892,15893,Reject,8
6,Employee,627549,17,No,Normal,2,12,4,2,3,1,Condominium,10,Kuala Lumpur,3,4067,989856,11326,Accept,9
6,Employee,334085,15,Yes,Normal,2,12,4,2,3,2,Condominium,10,Kuala Lumpur,3,8683,842194,12227,Reject,6
6,Employee,429350,13,No,Normal,2,10,4,2,1,1,Condominium,10,Kuala Lumpur,3,5784,547859,10476,Accept,6
6,Employee,312790,16,Yes,Gold,2,12,4,2,3,3,Bungalow,10,Kuala Lumpur,1,6654,979148,13696,Accept,6
6,Employee,420976,18,No,Normal,2,12,4,2,3,3,Bungalow,10,Kuala Lumpur,3,5822,425298,15912,Accept,9
6,Employee,496233,20,Yes,Gold,2,15,4,2,3,2,Bungalow,10,Kuala Lumpur,1,3650,917494,18625,Accept,8
6,Employee,423892,23,No,Normal,2,12,4,2,3,2,Not Specified,10,Kuala Lumpur,1,9847,942024,15469,Accept,8
6,Employee,623116,18,Yes,Normal,2,14,4,2,3,2,Bungalow,10,Kuala Lumpur,2,7418,501903,7693,Accept,7
6,Employee,647038,21,No,Not Specified,2,12,4,2,3,3,Bungalow,10,Kuala Lumpur,1,10943,694911,16698,Accept,6
6,Employee,509978,16,Yes,Normal,2,12,4,2,3,1,Bungalow,10,Kuala Lumpur,2,11169,688426,9975,Accept,9
6,Employee,233440,22,No,Gold,2,12,3,2,3,1,Bungalow,10,Kuala Lumpur,3,6340,1370329,16635,Reject,8
6,Employee,369172,10,Yes,Normal,2,15,4,2,3,3,Bungalow,10,Kuala Lumpur,3,10486,816942,11205,Accept,9
6,Employee,580096,22,No,Gold,2,12,4,2,2,1,Bungalow,10,Kuala Lumpur,3,10949,669336,10347,Accept,7
6,Employee,211122,20,Yes,Normal,2,15,4,2,3,3,Bungalow,10,Kuala Lumpur,1,10818,1055678,19808,Accept,9
6,Employee,596721,16,No,Not Specified,2,12,4,2,3,1,Bungalow,10,Kuala Lumpur,1,5148,461466,11922,Reject,9
6,Employee,570653,24,Yes,Normal,2,12,5,2,3,2,Bungalow,10,Kuala Lumpur,1,8033,973797,11967,Accept,8
6,Employee,155541,12,No,Not Specified,2,12,4,2,3,1,Bungalow,10,Kuala Lumpur,2,8157,651013,10024,Reject,8
6,Employee,472180,17,Yes,Gold,2,12,4,2,3,2,Bungalow,10,Kuala Lumpur,1,7821,885727,16777,Accept,9
6,Employee,483338,12,No,Gold,2,12,4,2,3,3,Bungalow,10,Kuala Lumpur,1,8714,710002,13663,Reject,9
6,Employee,519789,19,Yes,Normal,2,12,4,2,3,2,Bungalow,10,Kuala Lumpur,1,12104,1088198,15912,Reject,7
6,Employee,715324,17,No,Gold,2,12,4,2,3,3,Bungalow,10,Kuala Lumpur,2,3720,1185853,13419,Accept,8
6,Employee,572922,14,Yes,Normal,2,12,4,2,2,2,Bungalow,10,Kuala Lumpur,1,4109,588205,16070,Reject,9
6,Employee,627141,16,No,Platinum,2,12,4,2,3,2,Bungalow,10,Kuala Lumpur,1,6006,812246,12875,Accept,9
5,Employee,739872,17,Yes,Normal,2,12,4,2,1,3,Bungalow,13,Kuala Lumpur,2,7211,1087438,14679,Accept,9
5,Employee,260309,18,No,Normal,2,7,4,2,1,3,Bungalow,13,Kuala Lumpur,3,9970,691730,9635,Accept,6
5,Employee,270236,10,Yes,Normal,2,10,4,2,1,2,Bungalow,13,Kuala Lumpur,1,6999,899895,11954,Reject,8
5,Employee,694633,14,No,Gold,2,13,4,2,2,2,Bungalow,10,Kuala Lumpur,2,5779,729084,19933,Accept,8
5,Employee,189685,20,Yes,Gold,2,13,4,2,2,3,Not Specified,10,Kuala Lumpur,2,6340,1432685,16481,Reject,8
5,Employee,720606,22,No,Not Specified,2,13,4,2,1,3,Bungalow,13,Kuala Lumpur,2,5709,825753,19973,Reject,9
5,Employee,586580,18,Yes,Platinum,2,13,4,2,1,3,Bungalow,13,Kuala Lumpur,2,7449,1299073,7988,Accept,9
5,Employee,729488,23,No,Normal,2,13,4,2,1,1,Bungalow,13,Kuala Lumpur,2,3919,1002659,11038,Accept,9
5,Employee,446882,20,Yes,Normal,2,13,4,2,1,3,Bungalow,13,Kuala Lumpur,2,9265,780214,17055,Accept,9
5,Employee,333573,18,No,Normal,2,13,4,2,1,1,Bungalow,13,Kuala Lumpur,2,10735,1288039,13198,Accept,6
5,Employee,469881,18,Yes,Gold,2,13,4,2,1,2,Bungalow,13,Kuala Lumpur,3,12383,1004409,18467,Reject,9
5,Employee,484646,12,No,Normal,2,13,4,2,1,3,Bungalow,13,Kuala Lumpur,1,7667,969982,8939,Accept,8
5,Employee,595029,15,Yes,Gold,2,13,4,2,1,1,Bungalow,13,Kuala Lumpur,1,7272,1030060,8112,Accept,7
5,Employee,246845,20,No,Normal,2,13,4,2,1,2,Bungalow,13,Kuala Lumpur,1,8482,1226127,11846,Accept,9
5,Employee,635168,11,Yes,Normal,2,15,4,2,1,1,Bungalow,10,Kuala Lumpur,2,10373,603967,19919,Accept,7
5,Employee,421177,18,No,Gold,2,13,4,2,1,2,Bungalow,13,Kuala Lumpur,1,4925,833653,8486,Accept,9
5,Employee,506476,20,Yes,Normal,2,16,3,2,1,3,Bungalow,13,Kuala Lumpur,2,7829,1081291,16797,Accept,7
5,Employee,550330,21,No,Gold,2,6,4,2,1,1,Bungalow,13,Kuala Lumpur,2,5902,1026522,10632,Reject,7
5,Employee,654795,20,Yes,Normal,2,13,4,2,1,2,Bungalow,10,Kuala Lumpur,1,7923,952983,16578,Accept,7
5,Employee,718415,16,No,Normal,2,13,4,2,1,1,Bungalow,13,Kuala Lumpur,1,10580,893291,13585,Accept,6
5,Employee,290871,13,Yes,Normal,2,16,4,2,1,2,Terrace,13,Kuala Lumpur,1,8444,747630,15473,Accept,9
5,Employee,636477,16,No,Normal,2,13,4,2,1,2,Terrace,13,Kuala Lumpur,3,11509,1026785,12475,Reject,8
5,Employee,615502,15,Yes,Gold,2,13,4,2,1,1,Terrace,13,Kuala Lumpur,2,7082,709856,16058,Accept,7
5,Employee,133831,16,No,Normal,2,13,4,2,1,2,Terrace,13,Kuala Lumpur,3,7162,1072523,19850,Accept,8
5,Employee,136548,22,Yes,Gold,2,13,4,2,1,1,Terrace,13,Kuala Lumpur,2,6878,1091704,12692,Accept,8
5,Employee,601632,19,No,Normal,2,13,4,2,1,1,Terrace,13,Kuala Lumpur,2,7714,1092704,14607,Accept,7
5,Employee,320468,20,Yes,Normal,2,13,4,2,1,2,Terrace,13,Kuala Lumpur,1,12199,1087403,16752,Accept,7
5,Employee,160622,19,No,Not Specified,2,13,4,2,1,1,Not Specified,13,Kuala Lumpur,1,11519,1087403,8715,Accept,9
5,Employee,216034,21,Yes,Normal,2,13,4,2,1,3,Terrace,13,Kuala Lumpur,1,4134,1302640,19344,Accept,8
5,Employee,114772,19,No,Not Specified,2,13,4,2,1,2,Terrace,13,Kuala Lumpur,1,10382,1255844,12287,Reject,8
5,Employee,360226,16,Yes,Normal,2,13,3,2,2,1,Terrace,13,Kuala Lumpur,2,7917,1291878,12180,Reject,8
5,Employee,409429,13,No,Normal,2,9,2,2,1,2,Terrace,13,Kuala Lumpur,3,9086,952816,10623,Accept,6
